file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000059,2026-08-19T19:45:11.584,any,22.94,25.44,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000060,2026-08-19T19:45:11.679,any,22.94,25.44,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000061,2026-08-19T19:45:11.805,any,22.96,25.46,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000062,2026-08-19T19:45:11.902,any,22.96,25.46,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000063,2026-08-19T19:45:12.029,any,22.94,25.44,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000064,2026-08-19T19:45:12.158,any,22.94,25.44,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000065,2026-08-19T19:45:12.252,any,22.94,25.44,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000066,2026-08-19T19:45:12.379,any,22.94,25.44,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000067,2026-08-19T19:45:12.475,any,22.94,25.44,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000068,2026-08-19T19:45:12.603,any,22.94,25.44,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000069,2026-08-19T19:45:12.703,any,22.91,25.41,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000070,2026-08-19T19:45:12.828,any,22.91,25.41,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000071,2026-08-19T19:45:12.928,any,22.89,25.39,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000072,2026-08-19T19:45:13.051,any,22.88,25.38,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000073,2026-08-19T19:45:13.179,any,22.87,25.37,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000074,2026-08-19T19:45:13.274,any,22.84,25.34,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000075,2026-08-19T19:45:13.404,any,22.84,25.34,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000076,2026-08-19T19:45:13.500,any,22.84,25.34,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000077,2026-08-19T19:45:13.628,any,22.84,25.34,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000078,2026-08-19T19:45:13.724,any,22.84,25.34,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000079,2026-08-19T19:45:13.851,any,22.87,25.37,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000080,2026-08-19T19:45:13.953,any,22.89,25.39,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000081,2026-08-19T19:45:14.076,any,22.87,25.37,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000082,2026-08-19T19:45:14.204,any,22.89,25.39,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000083,2026-08-19T19:45:14.302,any,22.89,25.39,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000084,2026-08-19T19:45:14.430,any,22.87,25.37,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000085,2026-08-19T19:45:14.524,any,22.87,25.37,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000086,2026-08-19T19:45:14.651,any,22.87,25.37,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000087,2026-08-19T19:45:14.750,any,22.91,25.41,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000088,2026-08-19T19:45:14.875,any,22.91,25.41,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000089,2026-08-19T19:45:15.003,any,22.91,25.41,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000090,2026-08-19T19:45:15.103,any,22.91,25.41,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000091,2026-08-19T19:45:15.226,any,22.87,25.37,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000092,2026-08-19T19:45:15.320,any,22.89,25.39,0,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
